CN,LAT,LON,BGI
17909245010661,46.75004,-67.80502,4593.0
17909289010661,46.41671,-67.8328,4923.0
17909291010661,46.44449,-67.80502,4970.0
17909293010661,46.72225,-69.80507,3941.0
17909339010661,46.69447,-69.83284,3661.0
17909420010661,47.1667,-68.91615,4576.0
17909494010661,47.02782,-68.88838,2285.0
17909545010661,46.83337,-68.88838,3496.0
17909632010661,46.80559,-68.99949,3964.0
17909689010661,46.77782,-68.91616,4075.0
17909736010661,46.72226,-68.91616,3896.0
17909821010661,46.72226,-68.94394,4185.0
17909892010661,46.61115,-68.94394,3862.0
17909941010661,46.58337,-68.97172,3375.0
17909996010661,47.38893,-69.08283,4124.0
17910046010661,47.05559,-69.05504,3895.0
17910107010661,46.9167,-69.1106,3635.0
17910148010661,46.83337,-69.02727,4112.0
17910193010661,46.77782,-69.05505,3838.0
17910245010661,47.30559,-69.16616,4080.0
17910304010661,47.11114,-69.22171,4143.0
17910354010661,47.08337,-69.16615,4466.0
17910413010661,47.11114,-69.24949,3191.0
17910479010661,47.00004,-69.16615,4070.0
17910536010661,46.9167,-69.19393,4386.0
17910585010661,46.83337,-69.13838,4108.0
17910642010661,46.86115,-69.13838,3950.0
17910673010661,47.3056,-68.16615,3853.0
17910675010661,46.75004,-69.13838,3701.0
17910742010661,46.72226,-69.16616,3784.0
17910788010661,46.63892,-69.22172,4219.0
17910845010661,46.61115,-69.13838,4152.0
17910901010661,47.25003,-69.36061,3845.0
17910931010661,47.1667,-69.33282,3792.0
17911023010661,47.19448,-69.27727,3286.0
17911064010661,47.00003,-69.24949,4196.0
17911127010661,46.97226,-69.33282,4004.0
17911216010661,46.83337,-69.3606,4359.0
17911307010661,46.80559,-69.24949,4410.0
17911322010661,46.77781,-69.33283,4220.0
17911409010661,46.75003,-69.33283,4181.0
17911494010661,47.19448,-69.4995,0.0
17911540010661,46.83336,-69.44394,3904.0
17911607010661,47.00003,-69.55506,3538.0
17911682010661,46.97225,-69.61061,3744.0
17911756010661,46.69447,-69.58283,3209.0
17911795010661,46.6667,-69.52728,4311.0
17911844010661,46.86114,-69.63839,4312.0
17911939010661,46.77781,-69.69395,3720.0
17912033010661,46.77781,-69.69395,3720.0
17912101010661,47.25004,-68.6106,0.0
17912183010661,47.08337,-68.52727,4513.0
17912207010661,46.66671,-68.58282,4449.0
17912300010661,46.69449,-68.69393,4097.0
17912351010661,46.58337,-68.52727,4573.0
17912418010661,46.50004,-68.58282,3724.0
17912470010661,46.50004,-68.58282,3724.0
17912539010661,47.11115,-68.69393,4146.0
17912592010661,46.72226,-68.69393,2829.0
17912720010661,46.69449,-68.6106,3899.0
17912786010661,47.13893,-68.77727,3903.0
17912827010661,47.05559,-68.77727,4112.0
17912911010661,46.94448,-68.83282,3558.0
17912961010661,46.83337,-68.83282,4238.0
17913008010661,46.47226,-68.77727,3666.0
17913051010661,47.16671,-68.47171,4082.0
17913127010661,47.00004,-68.41615,4355.0
17913180010661,47.00004,-68.47171,4246.0
17913231010661,47.00004,-68.41615,4355.0
17913287010661,46.75004,-68.38837,3964.0
17913320010661,46.44449,-68.47171,3972.0
17913353010661,46.41671,-68.41615,4066.0
17913447010661,47.19448,-68.24948,3918.0
17913487010661,47.11115,-68.27726,4230.0
17913563010661,46.91671,-68.24948,4139.0
